,City,Country,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Date
46,severo-kurilsk,RU,43.83,73,6,7.85,50.68,156.12,1602427131
47,ponta do sol,PT,73.4,64,40,16.11,32.67,-17.1,1602427131
48,hobart,AU,46.4,87,40,8.05,-42.88,147.33,1602427039
49,concepcion del uruguay,AR,71.01,37,2,5.99,-32.48,-58.24,1602427132
50,cap-aux-meules,CA,42.8,81,75,28.86,47.38,-61.86,1602427132
51,lagoa,PT,68.99,78,7,18.32,39.05,-27.98,1602427132
52,puerto ayora,EC,69.01,96,99,5.01,-0.74,-90.35,1602427132
53,jamestown,US,53.01,87,1,9.17,42.1,-79.24,1602426871
54,kjollefjord,NO,43.52,86,100,13.09,70.95,27.35,1602427132
55,banihal,IN,58.21,41,0,3.89,33.42,75.2,1602427132
56,hilo,US,69.8,60,1,8.05,19.73,-155.09,1602426855
57,parabel,RU,32.43,97,100,10.54,58.7,81.48,1602427132
58,nouadhibou,MR,73.4,73,0,17.22,20.93,-17.03,1602427132
59,atuona,PF,78.17,72,13,24.54,-9.8,-139.03,1602427132
60,baykit,RU,22.5,91,7,2.35,61.67,96.37,1602427132
61,jiangkou,CN,75.2,73,75,8.95,25.49,119.2,1602426944
62,belize,BZ,79.0,81,100,2.19,17.25,-88.75,1602427133
63,lompoc,US,59.0,93,75,5.82,34.64,-120.46,1602427133
64,padang,ID,79.57,76,100,1.03,-0.95,100.35,1602426863
65,cidreira,BR,66.36,64,0,18.92,-30.18,-50.21,1602427133
66,batagay,RU,21.97,93,100,2.53,67.63,134.63,1602427133
67,comodoro rivadavia,AR,68.0,22,0,13.87,-45.87,-67.5,1602427133
68,lebu,CL,55.63,57,0,20.56,-37.62,-73.65,1602427133
69,saldanha,ZA,69.8,28,96,16.11,-33.01,17.94,1602427133
70,assiniboia,CA,50.56,56,87,21.97,49.63,-105.98,1602427133
71,port-cartier,CA,42.01,44,40,20.8,50.03,-66.87,1602427133
72,salalah,OM,82.4,69,0,9.17,17.02,54.09,1602427117
73,san cristobal,VE,89.6,43,20,23.04,7.77,-72.22,1602427133
74,upernavik,GL,36.59,78,100,6.78,72.79,-56.15,1602427134
75,rikitea,PF,73.2,79,0,14.09,-23.12,-134.97,1602427134
76,nikolskoye,RU,55.4,87,90,4.47,59.7,30.79,1602427134
77,qaanaaq,GL,32.76,82,35,7.56,77.48,-69.36,1602427134
78,provideniya,RU,34.03,90,100,7.7,64.38,-173.3,1602427134
79,bethel,US,60.01,67,1,8.05,41.37,-73.41,1602427134
80,isangel,VU,75.97,84,40,13.53,-19.55,169.27,1602427134
81,tasiilaq,GL,39.2,80,75,23.04,65.61,-37.64,1602427134
82,dengzhou,CN,60.39,79,0,15.82,37.81,120.75,1602427134
83,baturite,BR,96.91,28,0,8.72,-4.33,-38.88,1602427134
84,san patricio,US,81.0,88,75,12.75,28.02,-97.52,1602427134
85,sola,VU,80.65,84,100,22.66,-13.88,167.55,1602427134
86,sitka,US,44.6,93,90,6.93,57.05,-135.33,1602427135
87,bose,IT,62.01,75,100,5.01,45.46,8.01,1602427135
88,port hardy,CA,46.4,93,90,10.25,50.7,-127.42,1602427135
89,crestview,US,79.0,74,75,13.87,30.76,-86.57,1602427135
90,atbasar,KZ,47.75,63,99,8.05,51.8,68.33,1602427135
91,eskil,TR,72.12,30,0,3.44,38.4,33.41,1602427135
92,lima,PE,68.0,72,1,3.36,-12.04,-77.03,1602426916
93,harboore,DK,53.01,79,32,12.1,56.62,8.18,1602427135
94,dicabisagan,PH,78.58,88,100,9.73,17.08,122.42,1602427135
95,stephenville,US,73.0,93,90,5.82,32.22,-98.2,1602426923
96,fortuna,US,50.0,100,90,6.93,40.6,-124.16,1602427135
97,simdega,IN,76.26,86,2,3.44,22.62,84.52,1602427135
98,kaitangata,NZ,48.07,93,33,7.02,-46.28,169.85,1602427135
99,tuktoyaktuk,CA,28.4,79,90,19.46,69.45,-133.04,1602427136
100,greenville,US,70.0,94,1,4.7,35.61,-77.37,1602426922
101,ribeira grande,PT,75.2,69,40,11.41,38.52,-28.7,1602427136
102,lagos,NG,83.5,70,92,8.75,6.58,3.75,1602427113
103,cabo san lucas,MX,73.4,83,5,5.82,22.89,-109.91,1602427027
104,jutai,BR,97.29,34,68,3.44,-5.18,-68.9,1602427136
105,wuda,CN,49.59,42,0,5.73,39.5,106.71,1602427136
106,olafsvik,IS,45.57,82,95,10.65,64.89,-23.71,1602427136
107,cruzeiro do sul,BR,75.99,57,0,3.0,-29.51,-51.99,1602427136
108,gogrial,SS,88.32,58,24,1.88,8.53,28.1,1602427136
109,cape town,ZA,71.6,24,100,10.29,-33.93,18.42,1602427136
110,codrington,AU,44.82,92,0,9.24,-38.27,141.97,1602427136
111,multai,IN,72.79,91,100,7.87,21.77,78.25,1602427136
112,sinjar,IQ,72.81,20,2,3.53,36.32,41.88,1602427137
113,hithadhoo,MV,82.4,79,100,13.13,-0.6,73.08,1602427137
114,pemangkat,ID,79.88,82,100,2.24,1.17,108.97,1602427137
115,arraial do cabo,BR,75.2,50,75,8.05,-22.97,-42.03,1602427137
116,boyolangu,ID,77.27,84,28,4.63,-8.12,111.89,1602427137
117,poso,ID,77.58,74,100,6.89,-1.4,120.75,1602427137
118,eureka,US,48.0,96,0,4.18,40.8,-124.16,1602426919
119,panlaitan,PH,79.39,87,100,4.99,12.12,119.85,1602427137
120,pevek,RU,28.71,94,97,4.14,69.7,170.31,1602427138
121,brae,GB,50.0,81,40,8.05,60.4,-1.35,1602427138
122,nanortalik,GL,39.2,84,100,8.68,60.14,-45.24,1602427138
123,carnarvon,AU,66.2,82,0,17.22,-24.87,113.63,1602427138
124,vaini,TO,69.8,83,20,8.05,-21.2,-175.2,1602427138
125,flinders,AU,62.01,83,96,1.01,-34.58,150.86,1602427138
126,namibe,AO,73.4,64,20,17.22,-15.2,12.15,1602427139
127,le mars,US,66.2,77,1,17.22,42.79,-96.17,1602427139
128,nemuro,JP,55.71,84,100,13.06,43.32,145.57,1602427139
129,thompson,CA,35.6,93,75,6.93,55.74,-97.86,1602427139
130,ariogala,LT,55.4,87,90,3.36,55.27,23.47,1602427139
131,hamilton,US,68.0,88,90,4.7,39.18,-84.53,1602427036
132,east london,ZA,60.8,59,75,6.93,-33.02,27.91,1602427139
133,georgetown,MY,80.6,88,20,4.7,5.41,100.34,1602427072
134,ancud,CL,59.0,66,20,3.36,-41.87,-73.82,1602427139
135,dongsheng,CN,40.14,63,0,3.71,39.82,109.98,1602427140
136,chirongui,YT,86.0,66,75,3.36,-12.93,45.15,1602427140
137,staritsa,RU,51.28,84,100,5.28,56.51,34.94,1602427140
138,adrar,MR,99.21,12,0,8.41,20.5,-10.07,1602427140
139,college,US,28.4,63,20,11.41,64.86,-147.8,1602427140
140,marsh harbour,BS,83.41,77,100,13.06,26.54,-77.06,1602426914
141,dikson,RU,36.68,99,100,12.97,73.51,80.55,1602427140
142,coquimbo,CL,55.4,87,90,8.05,-29.95,-71.34,1602427141
143,northam,GB,59.0,79,0,4.0,51.03,-4.22,1602427141
144,baikunthpur,IN,75.36,86,40,3.87,23.25,82.55,1602427141
145,ichhawar,IN,78.8,57,100,4.7,23.02,77.02,1602427141
146,frederikshavn,DK,50.0,90,38,1.01,57.44,10.54,1602427141
147,saint boswells,GB,54.0,68,34,7.36,55.57,-2.64,1602427141
148,portland,US,55.0,92,100,1.99,45.52,-122.68,1602427043
149,anaconda,US,35.6,69,90,4.7,46.13,-112.94,1602427141
150,wenchi,GH,82.11,78,58,0.51,7.74,-2.1,1602427141
151,shenjiamen,CN,67.32,70,0,5.26,29.96,122.3,1602427141
152,hasaki,JP,68.0,100,75,17.22,35.73,140.83,1602427141
153,tuatapere,NZ,53.01,92,96,8.99,-46.13,167.68,1602427142
154,darhan,MN,30.79,81,2,5.95,49.49,105.92,1602427142
155,chokurdakh,RU,17.13,95,37,3.51,70.63,147.92,1602427142
156,kalengwa,ZM,87.73,33,90,0.81,-13.47,25.0,1602427142
157,dingle,PH,76.03,90,100,2.13,11.0,122.67,1602427142
158,faanui,PF,78.53,80,51,17.92,-16.48,-151.75,1602427142
159,batagay-alyta,RU,14.97,85,48,1.79,67.8,130.41,1602427142
160,los alamos,US,60.01,22,1,5.82,35.89,-106.31,1602427142
161,clyde river,CA,30.2,92,90,9.17,70.47,-68.59,1602427142
162,kruisfontein,ZA,59.0,69,37,5.01,-34.0,24.73,1602427142
163,buraydah,SA,86.0,17,0,5.82,26.33,43.98,1602427143
164,praia da vitoria,PT,69.8,77,75,16.37,38.73,-27.07,1602427143
165,srednekolymsk,RU,23.16,87,11,2.82,67.45,153.68,1602427143
166,chuy,UY,65.34,54,26,11.95,-33.7,-53.46,1602427143
167,novoorsk,RU,50.0,27,92,8.95,51.38,58.98,1602427143
168,rocha,UY,64.36,63,44,12.55,-34.48,-54.33,1602427143
169,chapais,CA,32.0,88,90,8.05,49.78,-74.85,1602427143
170,phan thiet,VN,76.69,91,100,7.85,10.93,108.1,1602427143
171,victoria,HK,81.0,79,18,1.01,22.29,114.16,1602426889
172,vestmannaeyjar,IS,44.6,93,90,14.99,63.44,-20.27,1602427143
173,mogadishu,SO,84.2,66,20,11.41,2.04,45.34,1602427143
174,mar del plata,AR,53.6,93,90,12.75,-38.0,-57.56,1602427143
175,pilar,BR,87.8,55,15,14.99,-9.6,-35.96,1602427144
176,new norfolk,AU,45.0,80,13,2.66,-42.78,147.06,1602427144
177,svetlyy,RU,55.4,66,20,6.71,54.67,20.13,1602427144
178,samarai,PG,78.98,88,36,9.48,-10.62,150.67,1602427144
179,aquin,HT,85.21,70,15,2.98,18.28,-73.4,1602427144
180,bluff,NZ,53.01,92,88,8.99,-46.6,168.33,1602427144
181,airai,TL,60.71,94,72,3.27,-8.93,125.41,1602427144
182,tazovskiy,RU,32.43,97,100,18.63,67.47,78.7,1602427144
183,puerto asis,CO,84.2,66,8,2.24,0.51,-76.5,1602427144
184,kaabong,UG,74.46,56,65,7.76,3.48,34.15,1602427144
185,havre-saint-pierre,CA,39.2,69,1,16.11,50.23,-63.6,1602427144
186,skibbereen,IE,57.2,62,40,2.24,51.55,-9.27,1602426966
187,puri,IN,84.2,89,40,9.17,19.8,85.85,1602427145
188,yar-sale,RU,40.77,96,100,13.09,66.83,70.83,1602427145
189,yarensk,RU,47.12,92,99,3.6,62.17,49.09,1602427145
190,rio grande,BR,66.99,68,0,14.14,-32.03,-52.1,1602426858
191,ilulissat,GL,41.0,65,37,16.11,69.22,-51.1,1602427145
192,sibolga,ID,78.03,81,100,3.06,1.74,98.78,1602427145
193,winslow,US,46.4,39,1,9.17,35.02,-110.7,1602427145
194,bathsheba,BB,86.0,74,20,16.11,13.22,-59.52,1602427145
195,pitea,SE,48.2,100,90,3.36,65.32,21.48,1602427077
196,dodoma,TZ,89.6,24,40,5.82,-6.17,35.74,1602427006
197,sharjah,AE,93.2,41,0,9.17,25.36,55.4,1602426948
198,gerash,IR,86.0,27,0,9.17,27.67,54.14,1602427146
199,araouane,ML,94.44,24,86,12.06,18.9,-3.53,1602427146
200,saint george,US,59.0,33,1,6.93,37.1,-113.58,1602427146
201,black river,JM,86.0,74,20,3.36,18.03,-77.85,1602427146
202,oktyabrskoye,RU,69.01,59,30,6.71,43.06,44.74,1602427146
203,muravlenko,RU,33.93,96,100,14.41,63.79,74.52,1602427147
204,velikooktyabrskiy,RU,51.93,87,96,3.87,57.43,33.82,1602427147
205,sabirabad,AZ,69.8,52,26,4.7,40.01,48.48,1602427147
206,kloulklubed,PW,80.6,83,75,4.7,7.04,134.26,1602427147
207,quatre cocos,MU,77.0,88,40,8.05,-20.21,57.76,1602427147
208,esperance,AU,51.8,100,75,4.7,-33.87,121.9,1602427147
209,yulara,AU,69.8,16,2,8.05,-25.24,130.99,1602427147
210,carlsbad,US,64.99,100,1,3.29,33.16,-117.35,1602427148
211,oussouye,SN,89.6,70,75,4.7,12.48,-16.55,1602427148
212,ternate,ID,81.3,77,100,5.19,0.8,127.4,1602427148
213,rawson,AR,64.42,28,0,10.76,-43.3,-65.1,1602427148
214,veraval,IN,83.89,77,29,14.56,20.9,70.37,1602427148
215,chico,US,55.4,76,5,8.05,39.73,-121.84,1602427148
216,cizre,TR,78.12,17,46,4.16,37.33,42.19,1602427149
217,poronaysk,RU,51.39,87,100,14.16,49.22,143.12,1602427149
218,havelock,US,73.99,94,75,3.36,34.88,-76.9,1602427149
219,coruripe,BR,85.26,60,64,18.34,-10.13,-36.18,1602427149
220,katsuura,JP,68.0,88,75,13.87,35.13,140.3,1602427149
221,blackwater,AU,66.25,79,70,7.29,-23.58,148.88,1602426894
222,kyzyl-suu,KG,42.19,72,87,3.98,42.34,78.01,1602427008
223,sinnamary,GF,87.28,60,5,9.78,5.38,-52.95,1602427150
224,waingapu,ID,81.41,68,44,7.78,-9.66,120.26,1602427150
225,aykhal,RU,4.35,93,60,3.04,66.0,111.5,1602427150
226,ketchikan,US,44.6,100,75,5.82,55.34,-131.65,1602427150
227,itarema,BR,88.09,51,42,14.2,-2.92,-39.92,1602427150
228,saskylakh,RU,15.12,95,90,7.05,71.92,114.08,1602427150
229,nantucket,US,62.6,67,75,20.8,41.28,-70.1,1602426945
230,millau,FR,55.99,81,90,18.34,44.08,2.92,1602427150
231,tocache,PE,88.09,48,7,1.95,-8.18,-76.51,1602427151
232,aklavik,CA,26.6,92,90,17.22,68.22,-135.01,1602427151
233,nome,US,39.2,69,90,5.82,64.5,-165.41,1602427151
234,okhotsk,RU,43.07,86,100,27.13,59.38,143.3,1602427151
235,avera,US,77.0,88,40,9.17,33.19,-82.53,1602427151
236,lahijan,IR,66.2,72,40,4.7,37.21,50.0,1602427151
237,banjarmasin,ID,77.0,88,51,3.36,-3.32,114.59,1602427151
238,homer,US,43.0,100,90,3.22,59.64,-151.55,1602427151
239,torbay,CA,66.0,72,75,35.57,47.67,-52.73,1602427151
240,rancho palos verdes,US,62.01,99,44,5.59,33.74,-118.39,1602427128
241,auki,SB,78.4,87,73,3.78,-8.77,160.7,1602427152
242,devonport,AU,46.99,67,7,5.99,-41.17,146.35,1602427152
243,bontang,ID,79.74,85,38,7.38,0.13,117.5,1602427152
244,neuquen,AR,62.6,39,0,9.17,-38.95,-68.06,1602427152
245,prokopyevsk,RU,34.74,97,100,5.97,53.91,86.72,1602427152
246,port keats,AU,81.41,80,0,3.44,-14.25,129.55,1602427152
247,matara,LK,79.29,84,100,13.96,5.95,80.54,1602427153
248,gondanglegi,ID,79.34,73,33,10.69,-7.75,112.01,1602427153
249,sistranda,NO,50.0,87,75,13.87,63.73,8.83,1602427153
250,sioux lookout,CA,41.0,80,90,9.17,50.1,-91.92,1602427153
251,sakakah,SA,93.2,8,0,6.93,29.97,40.21,1602427068
252,bayangol,RU,24.35,85,35,4.68,50.7,103.47,1602427153
253,tabuk,PH,74.8,93,100,2.08,17.42,121.44,1602427154
254,yuli,NG,92.3,42,0,4.81,9.7,10.27,1602427154
255,umm kaddadah,SD,97.36,19,86,9.19,13.6,26.69,1602427154
256,myitkyina,MM,77.49,77,1,2.24,25.38,97.4,1602427154
257,luderitz,NA,72.09,32,7,24.09,-26.65,15.16,1602427154
258,capinopolis,BR,103.26,18,1,1.9,-18.68,-49.57,1602427154
259,vardo,NO,46.4,87,75,6.93,70.37,31.11,1602427154
260,garowe,SO,87.82,35,43,6.91,8.41,48.48,1602427154
261,hindoria,IN,79.39,52,100,3.15,23.9,79.57,1602427154
262,saint-augustin,CA,35.62,88,100,22.62,51.23,-58.65,1602427154
263,narsaq,GL,39.2,86,75,5.75,60.92,-46.05,1602427155
264,rasht,IR,66.2,72,40,4.7,37.28,49.58,1602427155
265,talnakh,RU,23.0,92,75,26.84,69.49,88.4,1602427155
266,husavik,IS,48.2,70,75,11.41,66.04,-17.34,1602427155
267,rognan,NO,48.99,93,0,2.66,67.1,15.39,1602427155
268,kanlagay,PH,81.19,79,99,2.95,5.88,121.29,1602427155
269,old shinyanga,TZ,88.21,27,60,2.26,-3.55,33.4,1602427155
270,sucua,EC,71.6,68,20,2.24,-2.47,-78.17,1602427155
271,ostrovnoy,RU,45.34,86,21,11.23,68.05,39.51,1602427155
272,los llanos de aridane,ES,77.0,69,75,12.75,28.66,-17.92,1602427155
273,shirokiy,RU,38.23,77,0,10.42,49.76,129.52,1602427155
274,sebinkarahisar,TR,64.06,29,0,3.2,40.29,38.42,1602427155
275,lavrentiya,RU,35.38,86,75,12.57,65.58,-171.0,1602427155
276,qaqortoq,GL,39.2,86,75,10.18,60.72,-46.03,1602427155
277,poum,NC,75.94,82,12,10.6,-20.23,164.02,1602427156
278,anloga,GH,86.0,74,40,11.41,5.79,0.9,1602427156
279,lerwick,GB,50.0,81,40,8.05,60.15,-1.15,1602427156
280,denpasar,ID,82.4,100,40,18.34,-8.65,115.22,1602427037
281,mareeba,AU,75.2,78,75,5.82,-17.0,145.43,1602427156
282,kaitong,CN,41.0,60,0,9.15,44.81,123.15,1602427156
283,sao filipe,CV,80.92,74,6,8.57,14.9,-24.5,1602427156
284,cabedelo,BR,86.0,55,40,10.29,-6.98,-34.83,1602427156
285,madang,PG,77.34,89,95,1.57,-5.22,145.8,1602427156
286,west bay,KY,87.8,74,20,6.93,19.37,-81.42,1602427156
287,deputatskiy,RU,13.98,96,100,2.15,69.3,139.9,1602427156
288,rio gallegos,AR,59.0,38,75,19.46,-51.62,-69.22,1602427156
289,half moon bay,US,57.2,93,90,3.36,37.46,-122.43,1602427157
290,naze,JP,77.0,73,75,6.93,28.37,129.48,1602426885
291,sabang,ID,81.48,80,98,19.66,5.89,95.32,1602427157
292,asau,RO,63.0,82,92,2.91,46.43,26.4,1602427157
293,kavaratti,IN,82.38,77,91,18.41,10.57,72.64,1602427157
294,calvinia,ZA,68.02,21,16,7.61,-31.47,19.78,1602427157
295,eenhana,NA,98.6,6,0,4.7,-17.47,16.33,1602427157
296,matucana,PE,70.29,23,0,3.6,-11.85,-76.4,1602427044
297,sao joao dos patos,BR,96.35,33,27,4.88,-6.5,-43.7,1602427157
298,monywa,MM,83.89,67,0,1.59,22.12,95.13,1602427157
299,kotli loharan,PK,82.4,58,5,1.12,32.59,74.49,1602427157
300,oliveira,BR,80.76,50,38,6.2,-20.7,-44.83,1602426997
301,ozernovskiy,RU,43.09,71,18,7.23,51.5,156.52,1602427158
302,takaka,NZ,57.0,93,69,7.0,-40.85,172.8,1602427158
303,pepel,SL,84.2,66,75,5.82,8.58,-13.06,1602427158
304,dinanagar,IN,76.69,28,0,3.29,32.15,75.47,1602427158
305,hualmay,PE,69.4,65,3,8.81,-11.1,-77.61,1602427158
306,korla,CN,49.48,44,100,2.46,41.76,86.15,1602427158
307,sitrah,BH,89.6,29,0,4.7,26.15,50.62,1602427158
308,muromtsevo,RU,44.65,94,100,7.07,56.37,75.24,1602427158
309,cayenne,GF,89.6,55,20,9.17,4.93,-52.33,1602427158
310,huarmey,PE,69.51,66,1,9.28,-10.07,-78.15,1602427158
311,pangkalanbuun,ID,77.88,88,96,2.82,-2.68,111.62,1602427017
312,ashtian,IR,47.16,49,0,8.68,34.52,50.0,1602427158
313,champerico,GT,80.6,78,20,1.03,14.3,-91.92,1602427158
314,seoul,KR,59.0,87,75,3.0,37.57,126.98,1602427053
315,pisco,PE,66.2,82,0,5.82,-13.7,-76.22,1602427159
316,kaukauna,US,51.01,70,75,6.93,44.28,-88.27,1602426938
317,nouakchott,MR,82.4,69,0,10.29,18.09,-15.98,1602427147
318,eyl,SO,81.57,72,40,12.39,7.98,49.82,1602427159
319,melbu,NO,48.2,81,75,5.82,68.5,14.83,1602427159
320,muana,BR,94.1,44,8,6.33,-1.53,-49.22,1602427159
321,high rock,BS,84.2,83,40,12.75,26.62,-78.28,1602427159
322,la ronge,CA,42.8,93,75,8.05,55.1,-105.28,1602427159
323,walvis bay,NA,66.2,52,10,12.75,-22.96,14.51,1602427099
324,arica,CL,69.01,63,75,8.05,-18.48,-70.3,1602427159
325,plettenberg bay,ZA,59.07,67,14,16.15,-34.05,23.37,1602427160
326,grand gaube,MU,77.0,78,10,5.99,-20.01,57.66,1602427160
327,syracuse,IT,82.4,65,20,12.75,37.09,15.28,1602427160
328,upata,VE,80.91,81,18,5.73,8.01,-62.4,1602427160
329,swellendam,ZA,64.4,48,48,20.8,-34.02,20.44,1602427160
330,safaga,EG,89.6,46,0,12.75,26.73,33.94,1602427160
331,ontario,US,60.8,87,20,0.98,34.06,-117.65,1602427160
332,touros,BR,86.0,55,75,11.41,-5.2,-35.46,1602427160
333,wasilla,US,39.0,71,90,2.44,61.58,-149.44,1602427161
334,odesskoye,RU,45.91,88,93,8.66,54.21,72.97,1602427161
335,acajutla,SV,78.01,100,0,2.46,13.59,-89.83,1602427161
336,port victoria,KE,77.86,60,0,3.87,0.09,33.98,1602427161
337,wenatchee,US,46.99,80,1,6.58,47.42,-120.31,1602427161
338,beira,MZ,75.85,76,99,12.88,-19.84,34.84,1602427068
339,mana,GF,87.89,60,1,9.8,5.66,-53.78,1602427161
340,lecce,IT,75.2,64,40,14.99,40.22,18.17,1602427161
341,vilcun,CL,53.6,71,1,8.05,-38.65,-72.23,1602427162
342,zhigansk,RU,17.13,95,70,5.61,66.77,123.37,1602427162
343,leningradskiy,RU,30.38,98,100,5.12,69.38,178.42,1602427162
344,kidal,ML,98.64,15,95,0.65,18.44,1.41,1602427162
345,fairbanks,US,28.4,79,1,5.77,64.84,-147.72,1602426931
346,ust-nera,RU,24.67,83,100,3.58,64.57,143.2,1602427162
347,mitsamiouli,KM,86.0,62,40,13.87,-11.38,43.28,1602427163
348,tadine,NC,73.63,90,32,10.71,-21.55,167.88,1602427163
349,blackfoot,US,41.0,81,38,10.0,43.19,-112.34,1602427163
350,chato,TZ,78.64,54,57,6.67,-2.64,31.77,1602427163
351,port moresby,PG,78.8,88,90,17.22,-9.44,147.18,1602427163
352,biltine,TD,101.32,11,0,7.34,14.53,20.92,1602427163
353,coari,BR,99.27,36,24,1.16,-4.08,-63.14,1602427163
354,shubarkuduk,KZ,49.5,42,94,3.09,49.14,56.49,1602427163
355,alekseyevsk,RU,27.03,97,94,1.7,57.84,108.35,1602427163
356,arak,IR,50.34,44,0,4.25,34.09,49.69,1602427163
357,bardiyah,LY,74.91,59,0,13.67,31.76,25.09,1602427163
358,wattegama,LK,79.48,66,100,6.71,6.8,81.48,1602427163
359,ararat,AM,68.0,32,3,2.24,39.83,44.7,1602427163
360,nurota,UZ,59.0,21,0,16.11,40.56,65.69,1602427164
361,kodinsk,RU,19.24,95,15,3.27,58.69,99.18,1602427164
362,varna,BG,71.6,68,96,11.41,43.22,27.92,1602427106
363,jhelum,PK,80.89,23,0,3.13,32.93,73.73,1602427164
364,bilibino,RU,12.34,92,16,1.16,68.05,166.44,1602427164
365,mercedes,AR,63.0,66,82,7.0,-34.65,-59.43,1602427164
366,henties bay,NA,60.01,78,4,3.0,-22.12,14.28,1602427164
367,aswan,EG,102.15,12,0,14.25,24.09,32.91,1602427164
368,gillette,US,51.8,37,75,24.16,44.29,-105.5,1602427164
369,mount gambier,AU,46.4,93,31,6.93,-37.83,140.77,1602427164
370,sao caetano de odivelas,BR,87.85,60,60,9.51,-0.75,-48.02,1602427164
371,sambava,MG,76.68,90,40,6.53,-14.27,50.17,1602427164
372,biharamulo,TZ,76.78,51,67,5.1,-2.63,31.31,1602427165
373,vila franca do campo,PT,69.8,64,40,10.29,37.72,-25.43,1602427165
374,linxia,CN,45.27,70,100,1.99,35.6,103.21,1602427165
375,byron bay,AU,57.99,93,1,1.12,-28.65,153.62,1602427165
376,baracoa,CU,84.15,77,39,9.48,20.35,-74.5,1602427165
377,la sarre,CA,36.72,78,31,4.21,48.8,-79.2,1602426959
378,buritis,BR,84.11,48,100,3.33,-15.62,-46.42,1602427165
379,santa vitoria do palmar,BR,65.82,53,44,11.54,-33.52,-53.37,1602427165
380,gamba,GA,79.3,75,40,10.54,-2.65,10.0,1602427165
381,ellsworth,US,50.0,66,75,10.29,44.54,-68.42,1602427165
382,gander,CA,60.01,87,90,23.04,48.97,-54.59,1602427166
383,faya,SA,78.8,10,20,12.75,18.39,42.45,1602427166
384,kahului,US,77.0,65,1,10.29,20.89,-156.47,1602427166
385,sainte-anne-des-monts,CA,38.23,75,61,18.54,49.12,-66.49,1602427154
